,tweets,label
0,  no sé si das más pena tú o tu terrible ortografía pinche naca,0
1, cuando todo se va al infierno la gente que está a tu lado sin vacilar es tu familia,0
2, en 1800 nace natturner el esclavo rebelde del sur de estadosunidos ,0
3, entre muchas otras  muere el 6 de nov 2015  ,0
4, era la maldición de muchas familias,0
5,  felizlunes felizlunesatodos linux linuxsecurity manuales tutoriales portallinuxsc via linuxsc,0
6, la rola de lalocadelsenado,0
7, oh dios mío desde cuando tienen eso ,0
8, sexistas y totalmente inadecuados para su edad esto no es feminista y a laura fuentes la de rojo que representa a podemos canarias se le debería caer la cara de vergüenza,0
9, te ves bien crudo estuvo bueno el fin  no es que todavía no me recupero del cringe pena ajena ñáñaras y no sé qué más me dio cuando vi el anuncio de los influencers por el borrego,0
10, van muy bien eh,0
11, y acuérdate lo que dijo la,0
12, y tampoco somos todos chairos alucinados y ridículos ,0
13, y tú no te animas con uno,1
14, mujer tenía que ser,1
15, peleas como una mujer,1
16, has estudiado informática qué raro mujer,1
17, pero de verdad que no quieres tener hijos,1
18, por qué las mujeres no necesitan tener coche propio porque de la cocina al salón no hay tanta distancia,1
19, quieres que te quite esa carita tan triste,1
20, cuanto más prima más se arrima ,1
21, ella tiene que pedirle permiso a él,1
22, eres la que convenció a aquél a quien el diablo no fue suficientemente valiente para atacar,1
23, es que ahora por cualquier tontería te llaman machista,1
24, pero cuando salen embarazadas o se casan dejan el trabajo por eso no me gusta trabajar con mujeres además de todo se quejan,1
25, si una mujer es lesbiana será porque no ha probado un buen hombre,1
26, si yo fuera una mujer sería superguarra,1
27, te vas a quedar para vestir santos,1
28,  de medicinas en méxico,0
29,por qué no eres como las demás niñas cómo me saco esas palabras de la cabeza,0
30,cuando tomé las pastillas yo quería matar a alguien que detestaba no sabía que existían dentro de mí otras veronikas a las que yo sabría amar qué es lo que hace que una persona se deteste a sí misma,0
31,el amor incondicional no existe estoy obligada a cuidar a una persona mujer confiesa que odia ser madre ,0
32,es increíble la cantidad de niñas y de niños que se tienen que cuidar solos en estos contextos es imposible saber si la enfermedad o la realidad que viven es lo que les quita la infancia y los hace adultos inmediatos,0
33,leer sin reflejar es como comer sin digerir edmund burke,0
34,mamá es la primer palabra que aprendemos a decir y es la que más decimos a lo largo de nuestra vida si tienes la dicha de llegar a casa y tener en la mesa un plato de comida caliente de esa mujer tan especial eres afortunado cuídala por qué cuando se van ya nada es igual,0
35,me pongo romántico y te pones mamona es la frase que define que pedo con la que me gusta jajajajajajajajaja ,0
36,presidenta del sindicato de mamás luchonas en busca de un papa para mis bendiciones me acueste con quién me acueste,1
37,sí sus equipos no llegaron a la final mejor cállense panchito secundaria trunca 21 años no conoce el mar ni ha viajado en avión,0
38,sueños de la infancia  a través de elbotanerohmo suscribete y checalo   ,0
39,weeey nosotros somos el virus  pues órale mátate morra ayuda al planeta a librarse de este mal o todos somos virus menos tú ridícula,1
40,ya sé mucho de ese tema y tengo clarito todo todo sale embarazada a los 16 ,1
41,3oct iniciamos la semana con el regreso a clases de nuestros niños y niñas de la patria grande ,0
42,almomento  la madrugada de hoy una persona murió calcinada en la autopista méxicocuernavaca a la altura del fraccionamiento tabachines en cuernavaca ,0
43,alsegundomx  crean neuronas artificiales que pueden leer ondas cerebrales link   ,0
44,amlo otra vez violando la ley parece que le gusta y le da placer hacerlo necesitamos que el ine aplique lo que dicta la ley nadie por encima,0
45,apapachosdeluz y esperanza mi reina,0
46,aquícasual escapando de la brigada para comerme un taco en mi querido mercado hidalgo esos olores y esos sabores me llenan el corazón de bellos recuerdos de mi infancia loquecuentaeslaactitud,0
47,atención periodistas de puebla ,0
48,ciencia los científicos van a estudiar ambas especies en un intento de poder utilizar sus mecanismos de adaptación ,0
49,cuandomeviolaron la misma mamá y hermana de ese cerdo asqueroso terminaron de arrastrar mi honra y buen nombre por todo el municipio donde trabajo decían que ese maldito y yo éramos amantes,0
50,educación en culiacán ahora los hijos de los trabajadores de la,0
51,espectáculos oprah habló sobre una situación personal que arruinó su infancia de manera instantánea ,0
52,estados el objetivo es aglutinar las llamadas de emergencia para poder atender rápido los casos donde hay peligro de muerte,0
53,felizjueves noticia esta mujer causó controversia con las declaraciones que hizo respecto a que detesta ser mamá,0
54,fiscalíaslp  fiscalía aprehende a un hombre por supuesto robo a un comercio de slp el establecimiento afectado está en la colonia jardines del rosario,0
55,guanajuato quién le quema la casa a un señor de la tercera edad es la pregunta que se hacen autoridades luego de atender el incendio en la casa de don nacho ,0
56,honestidadquedaresultados 4toinforme  ,0
57,juegosurvivor todos los alcones me cagan bola de hipócritas los hombres pocos huevos y las viejas que mejor se vayan a tomar el té pinches mamonas a mi me representa una vieja cabrona y con huevos no esas viejas payasas mejor que vayan a cuidar sus implantes ,1
58,juegosurvivore cagan las mujeres de halcones de todo se quejan así son los juegos mejor no hubieran ido cuando ellas hacen algo porque no se quejan solo lo que les conviene cara aburrida,1
59,justiciaparalosdesaparecidos ni uno más el pueblo pobre de méxico exige justicia para todos los desaparecidos,0
60,ladycinepolis alguien que tenga una hija de la edad de esa pinché mugrosa para que le meta una buena arrastrada  yo le digo a una vecina para que le ponga sus cacheteadones a la mamá  cinepolis nunca las dejen entrar a sus salas ,1
61,ladycomegratis pinche vieja abusona d mierda sino traía dinero para tragar q no salga d su casa la culera pinche vieja traga cuando hay,1
62,ladycomegratis que poca madre eso no se vale pinche marrana esa panzota no es es gratis he,1
63,ladycomegratis alias brenda pardo lemus es una sinvergüenza aparentemente de torreón fue a gómez palacio durango a tragar gratis y en su facebook bien que presume sus tragaderas desde hace años,1
64,lasletrasunen te invita a leer vía leyendoaprendi lasletrasunen ,0
65,nomasfeminismo pinshis morras vyan a la cocina y agamen un sándwich v,1
66,nopodráscreerlo hace un mes que desapareción la perrita chihuahua de paris hilton y ella está dispuesta a todo para encontrarla incluso contrató a un equipo de médiums ,0
67,peakstore  negocioscuajimalpa negocioscoyoacan negociosalvaroobregon negocioscdmx ,0
68,ricardoponceabusador ricardo ponce un hombre misógino que hace ver a las mujeres como objetos de satisfacción para el que por engaños de manipulación hace que tengan relaciones sexuales por medio de falsos retiros de ayuda amigas no hay que permitir que se salga con la suya,0
69,ricardosalinas soy mamá y utilizaría el dinero para terminar el cuarto de mi hijo y el baño que está en obra negra solo tenemos 2 cuartitos pero quiero que mi niño tenga su espacio además que me ayudaria a pagar sus terapias y medicamentos ya que tiene autismo,0
70,rimming es el delicioso arte de chupar con labios y lengua el borde anal de tu pareja y créenos es demasiado placer y una excelente opción para iniciar en el mundo del placer anal en verdad abre tu mente por eso abrimos hilo de cómo besar un anitosexualidad,0
71,seguridad   la aprehensión de dos sujetos ocasionó una intensa movilización policíaca la tarde de ayer en la colonia centro de cuautla  ,0
72,sintemoradios  ataques con ácido y con agua caliente además de agresiones con armas punzocortantes son las principales formas en las que atentan contra los curas en méxico ,0
73,video  la jefa de gobierno de la ciudad de méxico claudia sheinbaum llega a su cuarto informe de gobierno como la aspirante más aventajada de morena para la candidatura presidencial de 2024 soycamachojuan en encrónica,0
74,viral  hombre infiel coloca espectaculares por toda la cdmx para pedirle perdón a su novia ,0
75,yonolescreo mitomanas,1
76,a las mujeres como eso para lavar planchar y estar cuidando niños ,1
77,la de vestido azul y lo único que no me gusta es que la otra señora bien gandalla le arrebata todo de las manos,0
78,paterna doña judi cuida y reprime a quien se pase de lanza en el ambiente familiar pero por el cariño que le tiene al hijo le ha pasado muchas cosas berrinches incluso pero el hijo le compra vitaminas para que viva más y confía ciegamente en ella vaya amor incondicional,0
79,tener hijas e hijos cuidar hijos y familiares enfermos era desempeñado por la mujer no era valorado socialmente ni remunerado económicamente ,1
80, la mujer es animal que gusta de castigo,1
81,empiezo a explicar en la comida frente a mi papá sobre el porque romantizar que un niñx le haga bullying a otrx porque le gusta está mal mi gfe cállate ya feminazi ridícula come marrana que ya vas a empezar con tus mamadas,0
82,la defensa mejora dia a dia,0
83,lesbiana feminazi,1
84,mi papá hablando de su infancia culera mi tía ajajaj mira este filtro te pone pelón,0
85,morra tiene mucho dinero por sus tetotas yo nalgotas la misma morra gracias a todos por su apoyo me ha costado mucho esfuerzo tener lo que tengo el querer es poder,1
86,tienes la panocha muy usada ya no quiero penetrarla ningún hombre jamás,1
87,yo cantando barbie girl,0
88, esto como parte de una movilización nacional ,0
89, loca encendia   te degollaré,1
90, no distingue la diferencia  en su ignorancia piensa que son lo mismo,0
91, que tenemos que ser buenas en el sexo para sentirnos superiores como si solo eso pudiéramos hacer nuestra valía no debería ser únicamente esa,0
92, y otros activistas realizaron un homenaje a blanca esmeralda gallardo mujer asesinada en villa frontera quien llevaba más de un año buscando a su hija desaparecida,0
93, yo quiero una mujer,0
94, a veces los jueces se lavan las manos por pendejadas procedimentales y culpan a la fiscalía,0
95, la violencia contra las mujeres no se confina a una cultura,1
96, pegarte sin esta falda,1
97, se embraza por creer que entiende cómo funciona su cuerpa   se complica y aborta fin de la historia ,1
98, bien pndja ud  que se cayó de pequeña o que  o tomaba leche paterna ,1
99, alfonso ramírez cuéllar ,0
100, no es ninguna víctima y no no es contra su pueblo que padece a ese desquiciado dictadorzuelo,0
101,  con la consigna ,0
102, utilizar el rayado peatonal y puentes peatonales,0
103,  karla rizo ,0
104,  elementos de emergencia ya acuden para atender el accidente en calzada ignacio zaragoza y calle adolfo lópez mateos disminuya su velocidad al circular por la zona laredcincoradio  ,0
105, estudia escritura de cine televisión y juegos,0
106, ya nos estamos preparando ,0
107, en sus negocios del futuro,0
108, fernanda de 23 años fue abusada por su ginecólogo de cabecera que la sedó durante una consulta familiares y amigos buscan justicia contra el sujeto el hecho sucedió el pasado 4 de octubre ,0
109, pérezreverte regresa a méxico con revolución una novela de aprendizaje amistad y lealtad en las fieras filas de pancho villa el escritor acota su territorio literario al sur de río bravo el mediterráneo los países árabes y la vieja europa ,0
110, s e r e n d i p i a ,0
111, se trató de un ataque directo por parte de sujetos a bordo de una motocicleta que dispararon a una camioneta la víctima fue el conductor,0
112,ese pobre pendejos aparte de fea la ethot se ve que está gorda o embarazada no mamar jajajaja y sucia la morra pinche tiradero que tiene esos vírgenes se dejan engañar por una par de tetas y si esta embarazada pues es por eos jajajaja,1
113,pinchas viejas locas ahora leen a las personas por sus gestos están bien loquillas y si les dije viejas yo soy viejo supongo no se ofendan ridículas y mi mamá no es vieja es grande de edad y voto por amlo ustedes son culebras chulada,1
114,no mamen a poco si les depositan por un poco de atención,1
