text,label
 ?? no sé si das más pena tú o tu terrible ortografía… PINCHE NACA,0
" Cuando todo se va al infierno, la gente que está a tu lado sin vacilar es tu familia",0
"- En 1800 nace #NatTurner, el esclavo rebelde del sur de #EstadosUnidos https://t.co/XHGyZJ32in",0
 entre muchas otras  Muere el 6 de nov 2015 ?? https://t.co/PzwowMaDFp,0
 era la maldición de muchas familias.,0
 https://t.co/I8JcEowZed #FelizLunes #FelizLunesATodos #Linux #linuxsecurity #Manuales #Tutoriales #PortalLinuxsc via @linuxsc,0
 La rola de #LaLocaDelSenado,0
" oh Dios mío!, desde cuando tienen eso ?",0
 sexistas y totalmente inadecuados para su edad. Esto no es feminista y a Laura Fuentes (la de rojo) que representa a Podemos Canarias se le debería caer la cara de vergüenza.,0
"- Te ves bien crudo, ¿estuvo bueno el fin? - No, es que todavía no me recupero del cringe, pena ajena, ñáñaras y no sé qué más me dio cuando vi el anuncio de los ""Influencers"" por el Borrego.",0
" Van muy bien, eh.",0
 y acuérdate lo que dijo la,0
" y tampoco somos todos, chairos alucinados y ridículos. ",0
" Y tú, ¿no te animas con uno?",1
 ¡Mujer tenía que ser.,1
 ¡Peleas como una mujer.,1
 ¿Has estudiado informática? ¡Qué raro mujer.,1
 ¿Pero DE VERDAD que no quieres tener hijos.,1
 ¿Por qué las mujeres no necesitan tener coche propio? Porque de la cocina al salón no hay tanta distancia.,1
 ¿Quieres que te quite esa carita tan triste.,1
" Cuanto más prima, más se arrima .",1
 ella tiene que pedirle permiso a él.,1
 eres la que convenció a aquél a quien el diablo no fue suficientemente valiente para atacar.,1
 Es que ahora por cualquier tontería te llaman machista.,1
" pero cuando salen embarazadas o se casan, dejan el trabajo, por eso no me gusta trabajar con mujeres, además de todo se quejan.",1
 Si una mujer es lesbiana? será porque no ha probado un buen hombre.,1
" Si yo fuera una mujer, sería superguarra.",1
 Te vas a quedar para vestir santos.,1
!!!  DE MEDICINAS EN MÉXICO.,0
"""¿Por qué no eres como las demás niñas?"" Cómo me saco esas palabras de la cabeza?",0
"""Cuando tomé las pastillas yo quería matar a alguien que detestaba. No sabía que existían, dentro de mí, otras Veronikas a las que yo sabría amar. -¿Qué es lo que hace que una persona se deteste a sí misma?""",0
"""El amor incondicional no existe, estoy obligada a cuidar a una persona"" Mujer confiesa que odia ser madre https://t.co/gLEQNno01J",0
