Fecha,Lugar,Hechos,Latitud,Longitud
03/01/2020 11:36,"Palmar de Bravo, Puebla, México","Feminicidio 30: Adriana Ignacia fue hallada muerta en Palmar de Bravo: desapareció un día antes en Tecamachalco
Domingo, 01 Marzo 2020 20:14
Feminicidio 30: Adriana Ignacia fue hallada muerta en Palmar de Bravo: desapareció un día antes en Tecamachalco
Elementos de la Policía Municipal fueron alertados la tarde del sábado sobre el hallazgo del cadáver de una mujer en un paraje de la localidad de San Miguel Xaltepec, Palmar de Bravo, a donde acudieron a confirmar los hechos y dieron aviso a la Fiscalía General del Estado (FGE) para realizar las diligencias correspondientes.

Staff/Diario Cambio
@Diario_Cambio



Adriana Ignacia Pérez Juárez, de 56 años de edad, fue hallada muerta en un predio de la localidad de San Miguel Xaltepec, ubicado en el municipio de Palmar de Bravo; la mujer era buscada por sus familiares desde el pasado viernes; el caso ocupa el feminicidio 30 en lo que va del año en Puebla.


Elementos de la Policía Municipal fueron alertados la tarde del sábado sobre el hallazgo del cadáver de una mujer en un paraje de la localidad de San Miguel Xaltepec, Palmar de Bravo, a donde acudieron a confirmar los hechos y dieron aviso a la Fiscalía General del Estado (FGE) para realizar las diligencias correspondientes.



La víctima fue identificada como Adriana Ignacia N, de 56 años de edad, quien fue reportada como desaparecida desde el pasado viernes 28 de febrero, cuando fue vista por última vez a las 17:30 horas afuera de la Bodega Aurrera en el municipio de Tecamachalco, pues salió de compras y ya no regresó.


La mujer, originaria de la localidad de Santiago Tenango, municipio de General Felipe Ángeles, y quien radicaba en el municipio de Quecholac, vestía pantalón negro, suéter negro, lentes y sus familiares iniciaron con su búsqueda desde el sábado 29 de febrero, sin embargo, aún no contaban con una carpeta de investigación al no cumplirse 72 horas de su desaparición.


Las autoridades no han brindado información sobre las condiciones en las que fue encontrado el cadáver de Adriana Ignacia, se espera que en las próximas horas sea entregado el cadáver para darle sepultura y señale las causas de su muerte.",18.83755,-97.519927
2/21/20 11:30,"Villa del Carbón, Estado de México","Cae hombre que mató con un hacha a su esposa
Villa del Carbón, Méx.‚Äî Con un hacha, Alberto de 64 años de edad, es señalado de haber atacado a su esposa en una vivienda de Llano de Zacapexco, en el Paraje La Angora, donde la mujer falleció.

Sin embargo, autoridades de la Fiscalía General de Justicia del Estado de México (FGJEM) informaron que el presunto agresor fue detenido.

El pasado 21 de febrero, el sexagenario, identificado como Alberto ‚ÄúN‚Äù, habría atacado con un hacha a su esposa, una mujer de 74 años de edad, luego de una fuerte discusión en Zacapexco, en este municipio boscoso mexiquense.

Por lo anterior, personal de la fiscalía del Estado de México inició una investigación por feminicidio, al tiempo que solicitaron a un juez una orden de aprehensión en contra de Alberto ‚ÄúN‚Äù, quien fue detenido y trasladado al penal de Jilotepec, donde el juzgador determinó este fin de semana vincularlo a proceso por la muerte de quien fue su pareja sentimental, tras lo cual se determinará su responsabilidad.

Cabe destacar que en el Estado de México 122 mujeres fueron asesinadas en 2019, de acuerdo con datos del Sistema Nacional de Seguridad.

En la mayoría de los feminicidios, el agresor utilizó armas de fuego, ahorcó o golpeó a su víctima, también suelen utilizar armas como cuchillos y tijeras.

Pero el uso de hachas, no es usual, por lo que este feminicidio llama la atención por la brutalidad con la que actuó el atacante para terminar con la vida de una adulta mayor.

En territorio mexiquense 90% de las víctimas de feminicidio son mujeres adultas, en su mayoría en edad productiva, pero pocas son adultas mayores como en este caso.

En el primer mes de este año, la cifra de feminicidios en el Estado de México fue de cinco víctimas, cuatro menos que en enero de 2019.

Autoridades reportaron una víctima en Ecatepec, Chimalhuacán, Amatepec, Jocotitlán y Los Reyes La Paz, municipios mexiquenses que integran la lista de las 64 alcaldías de la República mexicana en donde se ejerce mayor violencia contra las mujeres y feminicidios en el arranque de este año, de acuerdo con datos del Sistema Nacional de Seguridad Pública.",19.744464,-99.452065
2/20/20 11:05,"Acapulco de Juárez, Guerrero, 39300, México","Matan a otra adolescente en Guerrero, ahora en Acapulco Inicio/ Guerrero 22:49 20 de febrero de 2020 Sergio Robles/Quadratín ACAPULCO, Gro., 20 de febrero de 2020.- Otra adolescente de 16 años de edad fue asesinada en el estado, ahora en el interior de su departamento ubicado en el Infonavit Alta Progreso de este puerto. Como informó Quadratín, hace dos días una adolescente de 16 años fue asesinada a balazos en la entrada del municipio de Coyuca de Benítez, a unos metros de la carretera federal que va de Acapulco a Zihuatanejo. La joven había denunciado acoso por parte de policías. Según reportes oficiales, el crimen de este jueves ocurrió a las 7:24 la noche. En una llamada al teléfono de emergencias 911 reportaron sobre una joven apuñalada, sin embargo policías confirmaron que la víctima murió por asfixia en su habitación. El lugar de los hechos está ubicado en el edificio 1, departamento 10, en la calle cerrada Dalia del Infonavit Alta Progreso, cerca de la Unidad Académica de Contaduría y Administración de la Universidad Autónoma de Guerrero. De manera extraoficial se informó que la mamá de la adolescente de nombre Hannia llegó y encontró la puerta abierta de su departamento, el cual estaba en completo desorden. Al trasladarse a la habitación de su hija la encontró estrangulada, con golpes y manchas de sangre en el cuerpo. Además, que minutos antes se habían escuchado gritos y discusiones de la menor con su novio, quien al parecer fue quien la golpeó y la terminó ahorcando hasta matarla. Tras el homicidio, hay hermetismo en la zona por parte de las autoridades, quienes hasta el momento no han dado información oficial al respecto. Vecinos han acudido a expresar sus condolencias a los familiares. Trabajadores del Servicio Médico Forense (Semefo) trasladaron el cuerpo a sus instalaciones para la necropsia de ley y los trámites correspondientes.

El texto original de este artículo fue publicado por la Agencia Quadratín en la siguiente dirección: https://guerrero.quadratin.com.mx/matan-a-otra-adolescente-en-guerrero-ahora-en-acapulco/

Este contenido se encuentra protegido por la ley. Si lo cita, por favor mencione la fuente y haga un enlace a la nota original de donde usted lo ha tomado. Agencia Quadratín. Todos los Derechos Reservados ¬© 2018.
*******************************************************************************
Detienen a un menor por feminicidio de una chica de 16 años en Acapulco Inicio/ Justicia 13:39 01 de marzo de 2020 Redacción/Quadratín ACAPULCO, Gro., 1 de marzo de 2020.- La Fiscalía General del Estado informó que policías ministeriales detuvieron a un menor edad, identificado como Jesús, acusado como probable responsable del feminicidio de Hannia, la adolescente de 16 años estrangulada en el Infonavit Alta Progreso de esta ciudad. En un boletín, se indicó que en audiencia, el Juez Especializado en Justicia para Adolescentes, formuló imputación, vinculó a proceso y otorgó la medida cautelar de internamiento preventivo y un plazo de investigación complementaria de dos meses. De acuerdo con la carpeta judicial 15/2020, el pasado 20 de febrero a las 7:24 de la noche, la adolescente de 16 años fue localizada sin vida en su recamara, en el interior de su departamento ubicado en el Infonavit Alta Progreso. Como informó Quadratín, de manera extraoficial se indicó que minutos antes se habían escuchado gritos y discusiones de la menor con su novio, quien al parecer fue quien la golpeó y la terminó ahorcando hasta matarla.

El texto original de este artículo fue publicado por la Agencia Quadratín en la siguiente dirección: https://guerrero.quadratin.com.mx/detienen-a-un-menor-por-feminicidio-de-una-chica-de-16-anos-en-acapulco/

Este contenido se encuentra protegido por la ley. Si lo cita, por favor mencione la fuente y haga un enlace a la nota original de donde usted lo ha tomado. Agencia Quadratín. Todos los Derechos Reservados ¬© 2018.",16.86805,-99.894018
2/28/20 14:18,"Celaya, Guanajuato","Atacan restaurant-bar de Celaya; hay cuatro muertos y una posible ‚Äòlevantada‚Äô
De acuerdo con testigos se escucharon alrededor de 60 disparos de arma larga y al último una explosión mayor que podría tratarse de una granada

Periodico CorreoPublicado Hace 15 horas En 28 febrero, 2020Por Edición
Foto: Correo
Redacción

Celaya.- Un ataque a un restaurant- bar en la ciudad de Celaya la noche de este viernes dejó cuatro personas fallecidas y una persona levantada según información extraoficial.

Se trató de tres hombres y una mujer asesinados, además de que sería una mujer a quien se habrían llevado. Además de ellos se contabilizan a otras dos personas heridas.

Los hechos ocurrieron a eso de las 9:30 de la noche cuando, según testigos, unos seis sujetos en dos vehículos y con armas largas atacaron el restauran bar Las Muñecas que se encuentra en la esquina en la esquina de Parque Floresta y Parque del Tulipan en la colonia del Parque.

Como referencia dicho establecimiento se ubica en la parte trasera del centro comercial Galerias Tecnologico frente a la plaza Veleros.

De acuerdo con la versión de vecinos se escucharon alrededor de 60 disparos de arma larga y al último una explosión mayor que podría tratarse de una granada, acto seguido los atacantes se retiraron con rumbo desconocido.

Debido a la zona donde se presentaron los hechos policías llegaron en pocos minutos e implementaron un operativo sin que se conozcan resultados hasta ahora pues momentos después personas reportaron balazos por avenida Irrigacion y por avenida Tecnológico.

De las víctimas de este ataque no se sabe si eran propietarios, trabajadores o clientes del restaurante; tampoco si eran hombres o mujeres excepto un varón que quedó tendido boca abajo en un espacio tipo terraza que se encuentra al frente de este restaurant.

LC",20.537064,-100.824633
2/23/20 0:56,"Tonalá, Jalisco, México","POLICIACA
  / MI√âRCOLES 26 DE FEBRERO DE 2020

Muere cuarta víctima de ataque a bar en Tonalá
Así suman ya 13 muertes violentas de mujeres en el mes de febrero, 35 en lo que va del año, de los cuales al menos cinco han sido tipificados como feminicidio

Foto: Cortesía | Anónimo
Román Ortega | El Occidental

En el Antiguo Hospital Civil falleció una mujer que resultó herida de bala la madrugada del domingo en el ataque a un bar de la colonia Jauja, en el municipio de Tonalá, por lo que suman cuatro víctimas mortales por este hecho.






No dejes de leer: Ataques en dos bares y una licorería de Jalisco, cobran la vida de siete personas


Así suman ya 13 muertes violentas de mujeres en el mes de febrero, 35 en lo que va del año, de los cuales al menos cinco han sido tipificados como feminicidio.



Suscríbete a nuestra edición digital


Apenas la mañana del martes, el cuerpo calcinado de una mujer fue localizado en un parque de la colonia Los Camichines, en Tonalá.

El ataque ocurrió pasadas las 01:00 horas, del pasado domingo en el bar denominado La Cervecería Jauja, localizado en la calle Del Roble, entre Mandarina y Naranjo, en la colonia La Jauja, en Tonalá.

Un grupo de sujetos armados con fusiles de asalto ingresaron y dispararon en repetidas ocasiones en contra de las personas que se encontraban ahí. Consumada la agresión, los causantes escaparon en una camioneta Jeep Patriot, en color café con placas de Colima.



Te recomendamos:

POLICIACA

Comando irrumpe en bar de Tonalá; dos personas murieron


En el sitio fallecieron dos hombres, un tercero murió en el trasladado a la Cruz Verde.

En el interior del bar, se localizaron 17 casquillos de calibre 7.62x39 utilizado por el arma AK-47, también conocida como Cuerno de Chivo. Peritos del Instituto Jalisciense de Ciencias Forenses, recabaron indicios.





Conoce más‚Ä¶
Así suman ya 13 muertes violentas de mujeres en el mes de febrero, 35 en lo que va del año, de los cuales al menos cinco han sido tipificados como feminicidio.


TONALÁ ATAQUE BAR MUERTOS VIOLENCIA",20.618521,-103.222736
2/25/20 0:56,"Tonalá, Jalisco, México","POLICIACA
  / MI√âRCOLES 26 DE FEBRERO DE 2020

Muere cuarta víctima de ataque a bar en Tonalá
Así suman ya 13 muertes violentas de mujeres en el mes de febrero, 35 en lo que va del año, de los cuales al menos cinco han sido tipificados como feminicidio

Foto: Cortesía | Anónimo
Román Ortega | El Occidental

En el Antiguo Hospital Civil falleció una mujer que resultó herida de bala la madrugada del domingo en el ataque a un bar de la colonia Jauja, en el municipio de Tonalá, por lo que suman cuatro víctimas mortales por este hecho.






No dejes de leer: Ataques en dos bares y una licorería de Jalisco, cobran la vida de siete personas


Así suman ya 13 muertes violentas de mujeres en el mes de febrero, 35 en lo que va del año, de los cuales al menos cinco han sido tipificados como feminicidio.



Suscríbete a nuestra edición digital


Apenas la mañana del martes, el cuerpo calcinado de una mujer fue localizado en un parque de la colonia Los Camichines, en Tonalá.

El ataque ocurrió pasadas las 01:00 horas, del pasado domingo en el bar denominado La Cervecería Jauja, localizado en la calle Del Roble, entre Mandarina y Naranjo, en la colonia La Jauja, en Tonalá.

Un grupo de sujetos armados con fusiles de asalto ingresaron y dispararon en repetidas ocasiones en contra de las personas que se encontraban ahí. Consumada la agresión, los causantes escaparon en una camioneta Jeep Patriot, en color café con placas de Colima.



Te recomendamos:

POLICIACA

Comando irrumpe en bar de Tonalá; dos personas murieron


En el sitio fallecieron dos hombres, un tercero murió en el trasladado a la Cruz Verde.

En el interior del bar, se localizaron 17 casquillos de calibre 7.62x39 utilizado por el arma AK-47, también conocida como Cuerno de Chivo. Peritos del Instituto Jalisciense de Ciencias Forenses, recabaron indicios.





Conoce más‚Ä¶
Así suman ya 13 muertes violentas de mujeres en el mes de febrero, 35 en lo que va del año, de los cuales al menos cinco han sido tipificados como feminicidio.


TONALÁ ATAQUE BAR MUERTOS VIOLENCIA",20.618521,-103.222736
2/26/20 0:31,"Ecatepec de Morelos, Estado de México","En 48 horas matan a 4 mujeres en Ecatepec
Ecatepec, Méx.‚Äî La mañana de ayer asesinaron a tres personas, entre ellas dos mujeres, en la colonia Ciudad Azteca, Tercera Sección, informó la policía municipal.

En las últimas 48 horas cuatro mujeres perdieron la vida de manera violenta en Ecatepec; el lunes pasado otras dos fueron ejecutadas en la colonia Playa de Las Golondrinas, ubicada a 20 kilómetros de Ciudad Azteca.

La Dirección de Seguridad Ciudadana de Ecatepec informó que el centro de mando de la corporación local recibió a las 6:00 horas el reporte de los vecinos de que en la calle Popocatépetl, casi esquina con bulevar de Los Aztecas, había varios cuerpos tirados en la vía pública.

Los elementos llegaron al sitio, donde comprobaron que dos mujeres de aproximadamente 25 y 35 años estaban tendidas sobre la banqueta y tenían heridas producidas por arma de fuego.

Llamaron a los paramédicos para que les brindaran los primeros auxilios, pero las mujeres ya no contaban con signos vitales.

En la cajuela de un vehículo compacto negro, que estaba cerca de los cuerpos, los oficiales encontraron el cadáver de un hombre de aproximadamente 35 años, semidesnudo y con el rostro cubierto con cinta canela, sin heridas visibles.

De acuerdo con las primeras investigaciones, las mujeres fueron asesinadas en el mismo lugar, porque los peritos de la Fiscalía General de Justicia del Estado de México (FGJEM) encontraron manchas de sangre cerca de ellas, mientras que el hombre del auto se presume que murió por asfixia.

Al lugar de los hechos llegaron integrantes de corporaciones de los tres niveles de gobierno, para tratar de ubicar a los presuntos responsables del triple homicidio, pero no lograron localizarlos.

Los residentes de esa comunidad, considerada por las propias autoridades locales como una de las de mayor incidencia delictiva, no reconocieron a las víctimas como habitantes de la colonia.

Las autoridades ministeriales y municipales revisarán si en la zona donde aparecieron los cadáveres hay cámaras de videovigilancia que les permitan, a través de las imágenes grabadas, identificar a los probables responsables del homicidio múltiple.

Después de que se realizaron las tareas periciales en el área, los cadáveres de las dos mujeres y del hombre, aún sin identificar, fueron trasladados al Servicio Médico Forense de Ecatepec.

El alcalde morenista Fernando Vilchis Contreras lamentó lo ocurrido y ofreció que el ayuntamiento a su cargo colaborará con las autoridades ministeriales para que se esclarezca el crimen.
27/02/2020 01:12Emilio Fernández-A

Identifican cuerpos de Playa de las Golondrinas

Las dos mujeres asesinadas el lunes pasado en la colonia Playa de Las Golondrinas, en este municipio, fueron identificadas por sus familiares y la Fiscalía General de Justicia del Estado de México les entregó los cuerpos.

Las autoridades revelaron que una de ellas era originaria del municipio de Tultitlán.

Las víctimas tenían 30 y 28 años. Hasta ahora no se ha dado a conocer el móvil del doble asesinato.

Ese día, residentes de la comunidad que pasaron por la calle Playa Chachalacas fueron los que observaron que dos personas estaban tendidas a la orilla de la calle y cubiertas con una tela negra.",19.5868,-99.034096
2/26/20 0:31,"Ecatepec de Morelos, Estado de México","En 48 horas matan a 4 mujeres en Ecatepec
Ecatepec, Méx.‚Äî La mañana de ayer asesinaron a tres personas, entre ellas dos mujeres, en la colonia Ciudad Azteca, Tercera Sección, informó la policía municipal.

En las últimas 48 horas cuatro mujeres perdieron la vida de manera violenta en Ecatepec; el lunes pasado otras dos fueron ejecutadas en la colonia Playa de Las Golondrinas, ubicada a 20 kilómetros de Ciudad Azteca.

La Dirección de Seguridad Ciudadana de Ecatepec informó que el centro de mando de la corporación local recibió a las 6:00 horas el reporte de los vecinos de que en la calle Popocatépetl, casi esquina con bulevar de Los Aztecas, había varios cuerpos tirados en la vía pública.

Los elementos llegaron al sitio, donde comprobaron que dos mujeres de aproximadamente 25 y 35 años estaban tendidas sobre la banqueta y tenían heridas producidas por arma de fuego.

Llamaron a los paramédicos para que les brindaran los primeros auxilios, pero las mujeres ya no contaban con signos vitales.

En la cajuela de un vehículo compacto negro, que estaba cerca de los cuerpos, los oficiales encontraron el cadáver de un hombre de aproximadamente 35 años, semidesnudo y con el rostro cubierto con cinta canela, sin heridas visibles.

De acuerdo con las primeras investigaciones, las mujeres fueron asesinadas en el mismo lugar, porque los peritos de la Fiscalía General de Justicia del Estado de México (FGJEM) encontraron manchas de sangre cerca de ellas, mientras que el hombre del auto se presume que murió por asfixia.

Al lugar de los hechos llegaron integrantes de corporaciones de los tres niveles de gobierno, para tratar de ubicar a los presuntos responsables del triple homicidio, pero no lograron localizarlos.

Los residentes de esa comunidad, considerada por las propias autoridades locales como una de las de mayor incidencia delictiva, no reconocieron a las víctimas como habitantes de la colonia.

Las autoridades ministeriales y municipales revisarán si en la zona donde aparecieron los cadáveres hay cámaras de videovigilancia que les permitan, a través de las imágenes grabadas, identificar a los probables responsables del homicidio múltiple.

Después de que se realizaron las tareas periciales en el área, los cadáveres de las dos mujeres y del hombre, aún sin identificar, fueron trasladados al Servicio Médico Forense de Ecatepec.

El alcalde morenista Fernando Vilchis Contreras lamentó lo ocurrido y ofreció que el ayuntamiento a su cargo colaborará con las autoridades ministeriales para que se esclarezca el crimen.
27/02/2020 01:12Emilio Fernández-A

Identifican cuerpos de Playa de las Golondrinas

Las dos mujeres asesinadas el lunes pasado en la colonia Playa de Las Golondrinas, en este municipio, fueron identificadas por sus familiares y la Fiscalía General de Justicia del Estado de México les entregó los cuerpos.

Las autoridades revelaron que una de ellas era originaria del municipio de Tultitlán.

Las víctimas tenían 30 y 28 años. Hasta ahora no se ha dado a conocer el móvil del doble asesinato.

Ese día, residentes de la comunidad que pasaron por la calle Playa Chachalacas fueron los que observaron que dos personas estaban tendidas a la orilla de la calle y cubiertas con una tela negra.",19.5868,-99.034096
2/26/20 0:31,"Ecatepec de Morelos, Estado de México","En 48 horas matan a 4 mujeres en Ecatepec
Ecatepec, Méx.‚Äî La mañana de ayer asesinaron a tres personas, entre ellas dos mujeres, en la colonia Ciudad Azteca, Tercera Sección, informó la policía municipal.

En las últimas 48 horas cuatro mujeres perdieron la vida de manera violenta en Ecatepec; el lunes pasado otras dos fueron ejecutadas en la colonia Playa de Las Golondrinas, ubicada a 20 kilómetros de Ciudad Azteca.

La Dirección de Seguridad Ciudadana de Ecatepec informó que el centro de mando de la corporación local recibió a las 6:00 horas el reporte de los vecinos de que en la calle Popocatépetl, casi esquina con bulevar de Los Aztecas, había varios cuerpos tirados en la vía pública.

Los elementos llegaron al sitio, donde comprobaron que dos mujeres de aproximadamente 25 y 35 años estaban tendidas sobre la banqueta y tenían heridas producidas por arma de fuego.

Llamaron a los paramédicos para que les brindaran los primeros auxilios, pero las mujeres ya no contaban con signos vitales.

En la cajuela de un vehículo compacto negro, que estaba cerca de los cuerpos, los oficiales encontraron el cadáver de un hombre de aproximadamente 35 años, semidesnudo y con el rostro cubierto con cinta canela, sin heridas visibles.

De acuerdo con las primeras investigaciones, las mujeres fueron asesinadas en el mismo lugar, porque los peritos de la Fiscalía General de Justicia del Estado de México (FGJEM) encontraron manchas de sangre cerca de ellas, mientras que el hombre del auto se presume que murió por asfixia.

Al lugar de los hechos llegaron integrantes de corporaciones de los tres niveles de gobierno, para tratar de ubicar a los presuntos responsables del triple homicidio, pero no lograron localizarlos.

Los residentes de esa comunidad, considerada por las propias autoridades locales como una de las de mayor incidencia delictiva, no reconocieron a las víctimas como habitantes de la colonia.

Las autoridades ministeriales y municipales revisarán si en la zona donde aparecieron los cadáveres hay cámaras de videovigilancia que les permitan, a través de las imágenes grabadas, identificar a los probables responsables del homicidio múltiple.

Después de que se realizaron las tareas periciales en el área, los cadáveres de las dos mujeres y del hombre, aún sin identificar, fueron trasladados al Servicio Médico Forense de Ecatepec.

El alcalde morenista Fernando Vilchis Contreras lamentó lo ocurrido y ofreció que el ayuntamiento a su cargo colaborará con las autoridades ministeriales para que se esclarezca el crimen.
27/02/2020 01:12Emilio Fernández-A

Identifican cuerpos de Playa de las Golondrinas

Las dos mujeres asesinadas el lunes pasado en la colonia Playa de Las Golondrinas, en este municipio, fueron identificadas por sus familiares y la Fiscalía General de Justicia del Estado de México les entregó los cuerpos.

Las autoridades revelaron que una de ellas era originaria del municipio de Tultitlán.

Las víctimas tenían 30 y 28 años. Hasta ahora no se ha dado a conocer el móvil del doble asesinato.

Ese día, residentes de la comunidad que pasaron por la calle Playa Chachalacas fueron los que observaron que dos personas estaban tendidas a la orilla de la calle y cubiertas con una tela negra.",19.5868,-99.034096
2/26/20 0:31,"Ecatepec de Morelos, Estado de México","En 48 horas matan a 4 mujeres en Ecatepec
Ecatepec, Méx.‚Äî La mañana de ayer asesinaron a tres personas, entre ellas dos mujeres, en la colonia Ciudad Azteca, Tercera Sección, informó la policía municipal.

En las últimas 48 horas cuatro mujeres perdieron la vida de manera violenta en Ecatepec; el lunes pasado otras dos fueron ejecutadas en la colonia Playa de Las Golondrinas, ubicada a 20 kilómetros de Ciudad Azteca.

La Dirección de Seguridad Ciudadana de Ecatepec informó que el centro de mando de la corporación local recibió a las 6:00 horas el reporte de los vecinos de que en la calle Popocatépetl, casi esquina con bulevar de Los Aztecas, había varios cuerpos tirados en la vía pública.

Los elementos llegaron al sitio, donde comprobaron que dos mujeres de aproximadamente 25 y 35 años estaban tendidas sobre la banqueta y tenían heridas producidas por arma de fuego.

Llamaron a los paramédicos para que les brindaran los primeros auxilios, pero las mujeres ya no contaban con signos vitales.

En la cajuela de un vehículo compacto negro, que estaba cerca de los cuerpos, los oficiales encontraron el cadáver de un hombre de aproximadamente 35 años, semidesnudo y con el rostro cubierto con cinta canela, sin heridas visibles.

De acuerdo con las primeras investigaciones, las mujeres fueron asesinadas en el mismo lugar, porque los peritos de la Fiscalía General de Justicia del Estado de México (FGJEM) encontraron manchas de sangre cerca de ellas, mientras que el hombre del auto se presume que murió por asfixia.

Al lugar de los hechos llegaron integrantes de corporaciones de los tres niveles de gobierno, para tratar de ubicar a los presuntos responsables del triple homicidio, pero no lograron localizarlos.

Los residentes de esa comunidad, considerada por las propias autoridades locales como una de las de mayor incidencia delictiva, no reconocieron a las víctimas como habitantes de la colonia.

Las autoridades ministeriales y municipales revisarán si en la zona donde aparecieron los cadáveres hay cámaras de videovigilancia que les permitan, a través de las imágenes grabadas, identificar a los probables responsables del homicidio múltiple.

Después de que se realizaron las tareas periciales en el área, los cadáveres de las dos mujeres y del hombre, aún sin identificar, fueron trasladados al Servicio Médico Forense de Ecatepec.

El alcalde morenista Fernando Vilchis Contreras lamentó lo ocurrido y ofreció que el ayuntamiento a su cargo colaborará con las autoridades ministeriales para que se esclarezca el crimen.
27/02/2020 01:12Emilio Fernández-A

Identifican cuerpos de Playa de las Golondrinas

Las dos mujeres asesinadas el lunes pasado en la colonia Playa de Las Golondrinas, en este municipio, fueron identificadas por sus familiares y la Fiscalía General de Justicia del Estado de México les entregó los cuerpos.

Las autoridades revelaron que una de ellas era originaria del municipio de Tultitlán.

Las víctimas tenían 30 y 28 años. Hasta ahora no se ha dado a conocer el móvil del doble asesinato.

Ese día, residentes de la comunidad que pasaron por la calle Playa Chachalacas fueron los que observaron que dos personas estaban tendidas a la orilla de la calle y cubiertas con una tela negra.",19.5868,-99.034096
